scientific_name	rank
Ablabesmyia	genus
Appendicularia	genus
Axinella	genus
Phakellia	genus
Bosmina	genus
Bryopsis	genus
Nyctobrya	genus
Caulleriella	genus
Tharyx	genus
Chaetocladius	genus
Chaoborus	genus
Chironomus	genus
Aequipecten	genus
Chlamys	genus
Delectopecten	genus
Similipecten	genus
Palliolum	genus
Pseudamussium	genus
Chrysallida	genus
Parthenina	genus
Cricotopus	genus
Crucigenia	genus
Crucigeniella	genus
Cryptosula	genus
Ctenophora	genus
Ocnus	genus
Panningia	genus
Leptopentacta	genus
Cucumaria	genus
Culex	genus
Cylindrotheca	genus
Demicryptochironomus	genus
Antalis	genus
Dentalium	genus
Mychonastes	genus
Mucidosphaerium	genus
Hindakia	genus
Dictyosphaerium	genus
Elachista	genus
Enteromorpha	genus
Ulva	genus
Fritillaria	genus
Galathea	genus
Glyptotendipes	genus
Snowella	genus
Woronichinia	genus
Gomphosphaeria	genus
Gracilaria	genus
Halichondria	genus
Chalinula	genus
Haliclona	genus
Nassarius	genus
Hyalodiscus	genus
Jaera	genus
Lacrymaria	genus
Laminaria	genus
Leptognathia	genus
Araphura	genus
Akanthophoreus	genus
Leucon	genus
Clathrina	genus
Leucosolenia	genus
Littorina	genus
Melarhaphe	genus
Lobocystis	genus
Lumbrineris	genus
Scoletoma	genus
Macropipus	genus
Liocarcinus	genus
Monia	genus
Monoraphidium	genus
Montacuta	genus
Mysella	genus
Myriochele	genus
Galathowenia	genus
Neomysis	genus
Mysis	genus
Polinices	genus
Natica	genus
Hediste	genus
Neanthes	genus
Nereis	genus
Nitzschia	genus
Odontella	genus
Brachystomia	genus
Odostomia	genus
Odostomia s.lat.	genus
Orbinia	genus
Phylo	genus
Orthocladius	genus
Phormidium	genus
Planktothrix	genus
Tychonema	genus
Limnothrix	genus
Oscillatoria	genus
Gyptis	genus
Oxydromus	genus
Cirrophorus	genus
Paradoneis	genus
Paraonis	genus
Pasiphaea	genus
Pectinaria	genus
Stauridium	genus
Parapediastrum	genus
Pseudopediastrum	genus
Monactinus	genus
Lacunastrum	genus
Pediastrum	genus
Raphitoma	genus
Philbertia	genus
Phyllodoce	genus
Polyodontes	genus
Pleurochrysis	genus
Chrysotila	genus
Podon	genus
Pleopis	genus
Polypedilum	genus
Scleroderma	genus
Pompholyx	genus
Porella	genus
Psectrocladius	genus
Pseudochattonella	genus
Pseudocuma	genus
Pseudodifflugia	genus
Pseudoralfsia	genus
Pusillina	genus
Rissoa	genus
Ampharete	genus
Sabellides	genus
Acutodesmus	genus
Comasiella	genus
Enallax	genus
Pseudodidymocystis	genus
Didymocystis	genus
Desmodesmus	genus
Verrucodesmus	genus
Scenedesmus	genus
Sycon	genus
Scypha	genus
Stagnicola	genus
Fimbriosthenelais	genus
Sthenelais	genus
Stictyosiphon	genus
Synechococcus	genus
Tetraselmis	genus
Orchomene	genus
Tryphosa	genus
Syllis	genus
Uroglena/Uroglenopsis/Urostipulosphaera	genus
Uroglenopsis	genus
Uroglena	genus
Venerupis	genus
Venus	genus
Chamelea	genus
Clausinella	genus
Timoclea	genus
Vertebrata	genus
Fontinalis	genus
Potamogeton	genus
Ruppia	genus
Sagittaria	genus
Zannichellia	genus
Zostera	genus
