taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
218387	Mytilus edulis	antag felstav		
219603	Ruppia spiralis	dyntaxaid		
221733	Nymphaea alba agg.			
221782	Plantago uniflora	dyntaxaid		
222888	Ranunculus aquatilis agg.			
222911	Ranunculus peltatus agg.			
224929	Ranunculus peltatus subsp. peltatus			
232817	Chaetomorpha linum		251416	
322829	Cladophora rupestris	felstav		rätt 232829
1008564	Ulva			Enteromorpha och Ulva sammanslagna i dyntaxa
1008571	Ulva		1016242	
2002573	Ctenocladaceae		2002578	
###Cocconeis placentula	Cocconeis placentula s.lat.	OK	237797	
###Eukaryotic picoplankton species incertae sedis			99990004	AA filterfunktion
###Flagellate			99990002	AA filterfunktion
###Fragilaria capucina	Fragilaria capucina s.lat.	OK	238013	
###Gomphonema olivaceum	Gomphonema olivaceum s.lat.	Exact		
###Gymnodinium simplex	Protodinium simplex	antag felstav		Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Monoraphidium arcuatum	Ankistrodesmus arcuatus	antag felstav		Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Odontella sinensis	Trieres chinensis	antag felstav		Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Oocystis solitaria	Neglectella solitaria	antag felstav		Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Paraphysomonas	Paraphysomonas s.lat.	Exact		
###Pectinaria	Pectinaria s.lat.	OK	1007565	
###Picoplankton			99990005	AA filterfunktion
###Rhodomonas baltica	Cryptomonas baltica	antag felstav		Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Scrippsiella hangoei	Apocalathium malmogiense	antag felstav		automatic dyntaxa translation. Båda accepterade i Dyntaxa Odontella sinensis accepterad i HELCOM PEG
###Scrippsiella trochoidea	Scrippsiella acuminata	antag felstav		Tills att Dyntaxa är uppdaterat borde denna översättning göras. Men eftersom några stlcl inom Scrippsiella fortfarande ska heta Scrippsiella kommenterades denna ut för att kunna leverera enligt HELCOM PEG 
###Synedra ulna	Ulnaria ulna s.lat.	OK	262369	
###test			99990099	AA filterfunktion
###Unicell			99990001	AA filterfunktion
###Unicells and flagellates			99990003	AA filterfunktion
#Ctenophora	Ctenophora (Ctenophora)	OK	249727	Kammanet i dyntaxa har id 5000006 den andra 249727 är en insekt
Abyssoninoe hibarnica	Abyssoninoe hibernica	antag felstav		
ACARIDA	Acaridae	felstav		
Acarina	Acari	Exact		
Acartia (Acanthacartia) bifilosa	Acartia bifilosa	Exact		
Acartia (Acanthacartia) tonsa	Acartia tonsa	Exact		
Acartia (Acartiura) longiremis	Acartia longiremis	Exact		
Achnanthes longipes	Achnanthes armillaris	Exact		
Achnanthes taeniata	Pauliella taeniata	OK	237490	
Acidostoma laticorne	Acidostoma laticornis	felstav		
Acidostoma nodiferum	Acidostoma obesum	exact		
Acidostoma obesun	Acidostoma obesum	antag felstav		
Acmaea	Tectura	Exact		
Acrosiphonia/Spongomorpha	Ulotrichaceae	antag felstav		
Acrosiphoniaceae	Ulotrichaceae	exact		
Actinaria	Actiniaria	felstav		
actiniaria	Actiniaria	felstav		
Actiniarida	Actiniaria	Exact		
Actinocyclus octonarius var, octonarius	Actinocyclus octonarius var. octonarius	antag felstav		
Actinocylus octonarius	Actinocyclus octonarius	antag felstav		
Actinoptergyii	Actinopterygii	felstav		
Actinoptychus octonarius	Actinocyclus octonarius	Exact		
Acutodesmus acuminatus	Tetradesmus lagerheimii	Exact		
Acutodesmus obliquus	Tetradesmus obliquus	Exact		
Aelidioidea	Aeolidioidea	felstav		
