scientific_name_from	scientific_name_to	note	datatype
Algae	Biota		EB
Bonnemaisonia hamifera/Spermothamnion repens	Rhodymeniophycidae	komplex	EB
Buccinum undatum/Neptunea antiqua	Buccinidae	komplex	EB
Chara aspera var. aspera f. subinermis	Chara aspera		EB
Chara globularis/virgata	Chara	komplex	EB
Coccotylus/Phyllophora	Phyllophoraceae	komplex	EB
Dendrodoa grossularia/Styela coriacea	Styelidae	komplex	EB
Dictyosiphon/Stictyosiphon	Chordariaceae	komplex	EB
Ectocarpus/Pylaiella	Ectocarpales	komplex	EB
Hydrachnidiae	Hydrachnidia		EB
Hydrozoa/Bryozoa	Animalia	komplex	EB
IsoÃ«tes echinospora	Isoetes echinospora		EB
Isoëtes	Isoetes		EB
Isoëtes echinospora	Isoetes echinospora		EB
Lithothamnion/Phymatolithon	Lithothamniaceae	komplex	EB
Nitella flexilis/opaca	Nitella	komplex	EB
Porania pulvillus	Porania (Porania) pulvillus		EB
Potamogeton berchtoldii/pusillus	Potamogeton	komplex	EB
Potamogeton gramineus × perfoliatus	Potamogeton	hybrid	EB
Potamogeton gramineus x perfoliatus	Potamogeton	hybrid	EB
Pseudolithoderma/Petroderma	Phaeophyceae	komplex	EB
Ranunculus confervoides	Ranunculus trichophyllus		EB
Ranunculus peltatus ssp. peltatus	Ranunculus peltatus		EB
Ranunculus peltatus subsp. peltatus	Ranunculus peltatus		EB
Sagittaria natans x sagittifolia	Sagittaria	hybrid	EB
Spermothamnion/Bonnemaisonia	Rhodymeniophycidae	komplex	EB
Sphaceloderma caespitula	Sphaceloderma caespitulum		EB
Stuckenia vaginata	Stuckenia vaginatus		EB
Triglochin maritima	Triglochin maritimum		EB
Ulva compressa/intestinalis	Ulva	komplex	EB
Ulva procera/prolifera	Ulva	komplex	EB
Zannichellia palustris var. palustris	Zannichellia palustris		EB
Hirudinida	Clitellata		EB-ZB
Amphiprora paludosa	Entomoneis paludosa		PP
Ceratium fusus	Tripos fusus		PP
Ceratoneis closterium	Cylindrotheca closterium		PP
Dinoflagellate	Dinophyceae		PP
Flagellate	Flagellates		PP
Fragilaria striatula	Grammonema striatulum		PP
Gonyaulax catenata	Peridiniella catenata		PP
Haptophyceae	Coccolithophyceae		PP
Heliocostomella subulata	Helicostomella subulata		PP
Rhizomonas setigera	Solenicola setigera		PP
StrobilidiumÂ spiralis	Strobilidium spiralis		PP
Vanella	Vannella		PP
Amphilochoides boecki	Amphilochoides boeckii		ZB
Coenagrion puella/pulchellum	Coenagrion	komplex	ZB
Crassicorophium bonnellii	Crassicorophium bonellii		ZB
Diastylis bradyi/laevis	Diastylis	komplex	ZB
Leucothoe lilljeborgii	Leucothoe lilljeborgi		ZB
Malmgreniella s.lat	Malmgreniella	s.lat.	ZB
Mysis relicta s.lat.	Mysis relicta	s.lat.	ZB
Nipponnemertes pulchra	Nipponnemertes pulcher		ZB
Onchnesoma steenstrupi	Onchnesoma steenstrupii		ZB
Paramphinome jeffreysi	Paramphinome jeffreysii		ZB
Pseudocuma longicorne	Pseudocuma (Pseudocuma) longicorne		ZB
Thyonidium drummondi	Thyonidium drummondii		ZB
Vitreolina philippi sensu Warén	Vitreolina philippi		ZB
Evertebrata	Animalia		ZP
Oikopleura dioica	Oikopleura (Vexillaria) dioica		ZP
IsoÃ«tes	Isoetes		
Nymphaea alba agg.	Nymphaea alba		
Potamogeton gramineus Ã— perfoliatus	Potamogeton gramineus		
Bosmina coregoni	Bosmina (Eubosmina) coregoni		
