cluster.table.column	Chla
visit.visit_id	SERNO
visit.visit_year	MYEAR
visit.visit_date	SDATE
sample.sample_date	SMPDATE
visit.reported_station_name	STATN
visit.visit_comment	COMNT_VISIT
visit.expedition_id	EXPID<or>CRUISE_NO
visit.platform_code	SHIPC
visit.water_land_station_type_code	WLTYP
visit.monitoring_station_type_code	MSTAT
visit.water_depth_m	WADEP
visit.wind_speed_ms	WINSP
visit.wave_observation_code	WAVES<or>SEAST
visit.wind_direction_code	WINDIR<or>WINDR
visit.cloud_observation_code	CLOUD
visit.ice_observation_code	ICEOB
visit.weather_observation_code	WEATH
visit.air_temperature_degc	AIRTEMP
visit.air_pressure_hpa	AIRPRES<or>PRES
visit.secchi_depth_m	SECCI<or>SECCHI
visit.secchi_depth_quality_flag	Q_SECCI<or>Q_SECCHI
visit.visit_reported_latitude	LATIT
visit.visit_reported_longitude	LONGI
visit.positioning_system_code	POSYS
sample.sample_id	SMPNO
sample.sample_time	STIME<or>SMPSTIME<or>SMPTIME
sample.sample_enddate	EDATE
sample.sample_endtime	ETIME
sample.sample_min_depth_m	MNDEP
sample.sample_max_depth_m	MXDEP
sample.sample_project_code	PROJ
sample.sample_orderer_code	ORDERER
sample.monitoring_program_code	MPROG
sample.sampling_laboratory_code	SLABO
sample.sampling_laboratory_accreditated	ACKR_SMP
sample.method_reference_code	REFSK
sample.method_documentation	METDC
sample.sample_comment	COMNT_SAMP
sample.sampler_type_code	SMTYP
sample.sampled_volume_l	SMVOL
variable.analysis_method_code	ANMET<or>METOA
variable.analytical_laboratory_code	ALABO
variable.analytical_laboratory_accreditated	ACKR_ANA
variable.analysis_date	ANADATE
variable.estimation_uncertainty	UNCERT
variable.method_calculation_uncertainty	METCU
variable.detection_limit	DETLI
variable.quantification_limit	LMQNT
variable.analysis_range	RANA
variable.variable_comment	COMNT<or>COMNT_VAR
variable.COPY_VARIABLE.Chlorophyll-a.ug/l	CHLA_MGM3<or>CHLAMGM3<or>CONC<or>CPHL<or>CHLA_CONC
TEMP.QFLAG.Chlorophyll-a	VFLAG<or>QFLAG<or>QCHLA<or>Q_CPHL
variable.SFLAG.Chlorophyll-a	SFLAG<or>SAFLG
visit.monitoring_purpose_code	PURPM
