cluster.table.column	Hseal
visit.visit_year	MYEAR
visit.visit_date	SDATE
visit.reported_station_name	STATN<or>PLATSKOD<or>Plats
sample.sample_comment	COMNT_VISIT
visit.sea_region	REGION<or>Area
visit.visit_reported_latitude	LATIT
visit.visit_reported_longitude	LONGI
visit.positioning_system_code	POSYS
sample.monitoring_program_code	MPROG
visit.monitoring_purpose_code	PURPM
visit.observation_distance_m	OBSDIST
sample.sampled_by	SMP_BY<or>OBSERV
visit.obspoint	OBSPOINT
sample.sample_time	STIME
sample.sample_project_code	PROJ
sample.sample_orderer_code	ORDERER
sample.sampling_laboratory_code	SLABO
sample.sampling_laboratory_accreditated	ACKR_SMP
sample.method_documentation	METDC
sample.sampler_type_code	SMTYP
sample.fauna_flora_found	FNFLA
sample.image_id	FOTOID<or>IMAGE_ID
variable.analytical_laboratory_code	ALABO
variable.analytical_laboratory_accreditated	ACKR_ANA
variable.variable_comment	COMNT_VAR
variable.species_flag_code	SFLAG
variable.reported_scientific_name	LATNM
variable.taxonomist	TAXNM
variable.COPY_VARIABLE.# counted.ind	COUNTNR<or>COUNT
