cluster.table.column	IFCB
sample.method_documentation	METDC
sample.monitoring_program_code	MPROG
sample.sample_orderer_code	ORDERER
sample.plankton_sampling_method_code	PDMET
sample.sample_project_code	PROJ
sample.sample_id	SMPNO
sample.sample_max_depth_m	MNDEP
sample.sample_min_depth_m	MXDEP
sample.sample_time	SAMPLE_TIME<or>STIME
sample.sampler_type_code	SMTYP
sample.sampling_laboratory_accreditated	ACKR_SMP
sample.sampling_laboratory_code	SLABO
variable.analysis_date	ANADATE
variable.analytical_laboratory_accreditated	ACKR_ANA
variable.analytical_laboratory_code	ALABO
variable.coefficient	COEFF
variable.COPY_VARIABLE.# counted.ind/analysed sample fraction	COUNT
variable.COPY_VARIABLE.Abundance.ind/l or 100 um pieces/l	ABUND_UNITS_PER_LITER<or>ABUND
variable.COPY_VARIABLE.Biovolume concentration.mm3/l	BIOVOL_PER_LITER<or>BIOVOL
variable.COPY_VARIABLE.Carbon concentration.ugC/l	C_CONC_PER_LITER<or>C_CONC
variable.analysis_method_code	METOA
variable.preservation_method_code	METFP
variable.reported_scientific_name	LATNM
variable.species_flag_code	SFLAG
variable.trophic_type_code	TRPHY
visit.platform_code	SHIPC
visit.positioning_system_code	POSYS
visit.reported_station_name	STATN
visit.monitoring_station_type_code	MSTAT
visit.water_depth_m	WADEP
visit.visit_date	SDATE
visit.visit_reported_latitude	LATIT
visit.visit_reported_longitude	LONGI
visit.visit_year	MYEAR
variable.COPY_VARIABLE.Biovolume per sample.unknown_unit	BIOVOL_PER_SAMPLE
variable.manual_qc_date	MANUAL_QC_DATE
sample.pre_filter_size_um	PRE_FILTER_SIZE
sample.training_set_annotated_by	TRAINING_SET_ANNOTATED_BY
sample.classifier_created_by	CLASSIFIER_CREATED_BY
sample.classifier_used	CLASSIFIER_USED
sample.instrument_number	IFCBNO
variable.reported_aphia_id	APHIA_ID
variable.image_verification_status	IMAGE_VERIFICATION
variable.classifier_taxon_name	CLASS_NAME
variable.classifier_f1_score_percent	CLASS_F1
variable.training_set	TRAINING_SET
sample.sampled_volume_ml	SMVOL
variable.COPY_VARIABLE.Unclassified Regions Of Interest - # counted .ROI/analysed sample	UNCLASSIFIED_COUNTS
variable.COPY_VARIABLE.Unclassified Regions Of Interest - Abundance.ROI/L	UNCLASSIFIED_ABUNDANCE
variable.COPY_VARIABLE.Unclassified Regions Of Interest - Volume.mm3/L	UNCLASSIFIED_BIOVOLUME<or>UNCLASSIFIED_VOLUME
sample.ph_fb	PH_FB
sample.chl_flu2_ug_l_fb	CHL_FB
sample.cdom_ppb_fb	CDOM_FB
sample.phyer_ug_l_fb	PHER_FB
sample.waterflow_l_min_fb	WATERFLOW_FB
sample.phycy_ug_l_fb	PHYC_FB
sample.turb_ntu_fb	TURB_FB
sample.pco2_ppm_fb	PCO2_FB
sample.water_temp_deg_c_fb	TEMP_FB
sample.psal_psu_fb	PSAL_FB
sample.osat_percent_fb	OSAT_FB
sample.doxy_ml_l_fb	DOXY_FB
variable.image_instrument_flag	QFLAG
sample.image_instrument_name	SAMPLING_PLATFORM
variable.image_verified_by	VERIFIED_BY
variable.associated_media	ASSOCIATED_MEDIA
variable.classification_program_image	CLASSPROG<or>COUNTPROG
variable.reported_scientific_name_species_flag	LATNM_SFLAG
