node.internal_key	SHARKarchive	LIMS	PhysicalChemical
			
			
visit.visit_year	MYEAR	MYEAR	MYEAR
sample.sample_project_code	PROJ_CODE<or>PROJ	PROJ	PROJ
sample.sample_orderer_code	ORDERER	ORDERER	ORDERER
visit.visit_date	SDATE	SDATE	SDATE
sample.sample_time	STIME	STIME	STIME
sample.sample_enddate	EDATE	EDATE	EDATE
sample.sample_endtime	ETIME	ETIME	ETIME
visit.platform_code	SHIPC	SHIPC	SHIPC
visit.expedition_id	CRUISE_NO	CRUISE_NO	CRUISE_NO
visit.visit_id	SERNO	STNNO	SERNO
visit.reported_station_name	STATN	STATN	STATN
visit.visit_reported_latitude	LATIT	LATIT	LATIT
visit.visit_reported_longitude	LONGI	LONGI	LONGI
visit.positioning_system_code	POSYS	POSYS	POSYS
visit.water_depth_m	WADEP	WADEP	WADEP
visit.additional_sampling	ADD_SMP	ADD_SMP	ADD_SMP
visit.visit_comment	COMNT_VISIT	COMNT_VISIT	COMNT_VISIT
visit.nr_depths			NODEPTH
visit.wind_direction_code	WINDIR<or>WINDR	WINDIR	WINDIR
visit.wind_speed_ms	WINSP	WINSP	WINSP
visit.air_temperature_degc	AIRTEMP	AIRTEMP	AIRTEMP
visit.air_pressure_hpa	AIRPRES	AIRPRES	AIRPRES
visit.weather_observation_code	WEATH	WEATH	WEATH
visit.cloud_observation_code	CLOUD	CLOUD	CLOUD
visit.wave_observation_code	WAVES<or>SEAST	WAVES	WAVES
visit.ice_observation_code	ICEOB	ICEOB	ICEOB
variable.COPY_VARIABLE.Secchi depth.m	SECCHI	SECCHI	SECCHI
TEMP.QFLAG.Secchi depth	Q_SECCHI	Q_SECCHI	Q_SECCHI
sample.sample_id	SMPNO	SMPNO	SMPNO
sample.sample_depth_m	DEPH	DEPH	DEPH
variable.COPY_VARIABLE.Pressure CTD.dbar	PRES_CTD	PRES_CTD	PRES_CTD
TEMP.QFLAG.Pressure CTD	Q_PRES_CTD	Q_PRES_CTD	Q_PRES_CTD
sample.sample_min_depth_m	MINDEPH	MINDEPH	MINDEPH
sample.sample_max_depth_m	MAXDEPH	MAXDEPH	MAXDEPH
variable.COPY_VARIABLE.Temperature bottle.C	TEMP_BTL	TEMP_BTL<or>Temperatur 1	TEMP_BTL
TEMP.QFLAG.Temperature bottle	Q_TEMP_BTL	Q_TEMP_BTL	Q_TEMP_BTL
variable.COPY_VARIABLE.Temperature CTD.C	TEMP_CTD	TEMP_CTD	TEMP_CTD
TEMP.QFLAG.Temperature CTD	Q_TEMP_CTD	Q_TEMP_CTD	Q_TEMP_CTD
variable.COPY_VARIABLE.Salinity bottle.o/oo psu	SALT_BTL	SALT_BTL	SALT_BTL
TEMP.QFLAG.Salinity bottle	Q_SALT_BTL	Q_SALT_BTL	Q_SALT_BTL
variable.COPY_VARIABLE.Salinity CTD.o/oo psu	SALT_CTD	SALT_CTD	SALT_CTD
TEMP.QFLAG.Salinity CTD	Q_SALT_CTD	Q_SALT_CTD	Q_SALT_CTD
variable.COPY_VARIABLE.Conductivity_25 bottle.mS/m	CNDC_25	CNDC_25	CNDC_25
