cluster.table.column	barcoding
visit.visit_year	MYEAR
visit.reported_station_name	STATN
sample.sample_project_code	PROJ
sample.sample_orderer_code	ORDERER
visit.platform_code	SHIPC
visit.expedition_id	CRUISE_NO
visit.visit_date	SDATE
visit.visit_reported_latitude	LATIT
visit.visit_reported_longitude	LONGI
visit.positioning_system_code	POSYS
visit.monitoring_station_type_code	MSTAT
visit.visit_comment	COMNT_VISIT
visit.wind_direction_code	WINDIR
visit.wind_speed_ms	WINSP
visit.air_temperature_degc	AIRTEMP
visit.air_pressure_hpa	AIRPRES
visit.weather_observation_code	WEATH
visit.cloud_observation_code	CLOUD
visit.wave_observation_code	WAVES
visit.ice_observation_code	ICEOB
visit.secchi_depth_m	SECCHI
visit.secchi_depth_quality_flag	Q_SECCHI
sample.sample_time	STIME
variable.replication	REP
sample.sample_min_depth_m	MNDEP
sample.sample_max_depth_m	MXDEP
sample.sampling_laboratory_code	SLABO
sample.sampling_laboratory_accreditated	ACKR_SMP
sample.sampler_type_code	SMTYP
sample.plankton_sampling_method_code	PDMET
sample.sampled_volume_l	SMVOL
variable.preservation_method_code	METFP
variable.storage_temperature	STTEMP
variable.coefficient	COEFF
variable.internal_standard	INTSTD
variable.volume_filtered	FILTVOL
variable.filtration_time	FILTTIME
variable.sample_replicate	NREP
variable.number_of_replicates	CREP
variable.sequence_archive_accession	SEQ_ARCHIVE
variable.gbif_archive	GBIF_ARCHIVE
variable.sbdi_archive	SBDI_ARCHIVE
variable.sequence_platform	SEQ_PLATFORM
variable.bioinformatic_analysis_pipeline	BIOINFOPIPELINE
variable.annotation_confidence	ANOCONF
sample.sample_id	SMPNO
sample.sample_comment	COMNT_SAMP
variable.reported_scientific_name	LATNM
variable.species_flag_code	SFLAG
variable.absolute_sequence_variant_id	ASV_ID
variable.operational_taxonomic_unit_id	OTU_ID
variable.trophic_type_code	TRPHY
variable.sequence	SEQUENCE
variable.COPY_VARIABLE.Reads.number of reads	READS
variable.COPY_VARIABLE.Relative Abundance (%).%	RELATIVE_ABUND
variable.COPY_VARIABLE.Absolute Abundance.sequences/l	ABSOLUTE_ABUND
variable.quality_flag	QFLAG
variable.primer_pair	PRIMER
variable.analysis_method_code	METOA
variable.analytical_laboratory_code	ALABO
variable.analytical_laboratory_accreditated	ACKR_ANA
variable.species_reference_list	RLIST
variable.extraction_date	EXTRDATE
variable.analysis_date	ANADATE
variable.bioinformatic_analysis_date	BIOINFODATE
sample.method_documentation	METDC
sample.method_reference_code	REFSK
variable.variable_comment	COMNT_VAR
variable.gene	GENE
variable.absolute_sequence_variant_alias	ASV_ALIAS
variable.hypervariable_region	SUBREGION
