cluster.table.column	Primprod_INCUB	Primprod_BIOMAD_SUSE_UMSC	Primprod_SUSE	Primprod_SMHI	Primprod_INSITU	Primprod_KMRS
visit.visit_year	MYEAR	MYEAR	MYEAR	MYEAR	MYEAR	MYEAR
visit.visit_date	SDATE	SDATE	SDATE	SDATE	SDATE	SDATE
visit.reported_station_name	STATN	STATN	STATN	STATN	STATN	STATN
visit.visit_comment	COMNT_VISIT	COMNT_SITE	COMNT_SITE		WEATH_COMNT	WEATH_COMNT
visit.expedition_id	EXPID<or>CRUISE_NO	EXPID	CRUISE_NO			
visit.platform_code	SHIPC	SHIPC	SHIPC	SHIPC	SHIPC	SHIPC
visit.monitoring_purpose_code	PURPM		PURPM			
visit.water_land_station_type_code	WLTYP	WLTYP	WLTYP	WLTYP	WLTYP	WLTYP
visit.monitoring_station_type_code	MSTAT	MSTAT	MSTAT	MSTAT	MSTAT	MSTAT
visit.water_depth_m	WADEP	WADEP	WADEP	WADEP	WADEP	WADEP
visit.wind_speed_ms	WINSP	WINSP	WINSP		WINSP	WINSP
visit.wave_observation_code	WAVES	SEAST	SEAST<or>WAVES		SEAST	SEAST
visit.wind_direction_code	WINDR<or>WINDIR	WINDR	WINDR<or>WINDIR		WINDR<or>WINDR_DEGREE	WINDR<or>WINDR_DEGREE
visit.cloud_observation_code	CLOUD	CLOUD	CLOUD	CLOUD	CLOUD	CLOUD
visit.ice_observation_code	ICEOB	ICEOB	ICEOB		ICEOB	ICEOB
visit.weather_observation_code	WEATH	WEATH	WEATH		WEATH	WEATH
visit.visit_reported_latitude	LATIT	LATIT	LATIT	LATIT	LATIT	LATIT
visit.visit_reported_longitude	LONGI 	LONGI	LONGI	LONGI	LONGI	LONGI
visit.positioning_system_code	POSYS	POSYS	POSYS	POSYS	POSYS	POSYS
visit.secchi_depth_m	SECCHI		SECCHI	SECCHI	SECCHI	SECCHI
sample.sample_id	SMPNO		SMPNO	SMPNO	SMPNO	SMPNO
sample.sample_series	SERNO	SERNO	SERNO	SERNO	SERNO	SERNO
sample.sample_time	STIME	STIME	STIME	STIME	STIME	STIME
sample.sample_depth_m	DEPTH CALCULATED PRODUCTION<or>SDEPT<or>DEPTH	SDEPT	SDEPT		SMPDEP	SMPDEP
sample.sample_min_depth_m	MNDEP		MNDEP	MNDEP	MNDEP	MNDEP
sample.sample_max_depth_m	MXDEP		MXDEP	MXDEP	MXDEP	MXDEP
sample.sample_project_code	PROJ	PROJ	PROJ	PROJ	PROJ	PROJ
sample.sample_orderer_code	ORDERER	ORDERER	ORDERER	ORDERER	ORDERER	ORDERER
sample.monitoring_program_code	MPROG	MPROG	MPROG	MPROG	MPROG	MPROG
sample.sampling_laboratory_code	SLABO	SLABO	SLABO	SLABO	SLABO	SLABO
sample.sampling_laboratory_accreditated	ACKR_SMP	ACKR_SMP	ACKR_SMP	ACKR_SMP	ACKR_SMP	ACKR_SMP
