node.internal_key	profile	PROFILE
		
visit.visit_year	MYEAR	MYEAR
visit.platform_code	SHIPC	SHIPC
visit.expedition_id	CRUISE_NO	CRUISE_NO
visit.visit_id	SERNO	SERNO
visit.reported_station_name	STATN	STATN
visit.visit_reported_latitude	LATIT	LATIT
visit.visit_reported_longitude	LONGI	LONGI
visit.positioning_system_code	POSYS	POSYS
visit.water_depth_m	WADEP	WADEP
visit.additional_sampling	ADD_SMP	ADD_SMP
visit.visit_comment	COMNT_VISIT	COMNT_VISIT
		
visit.wind_direction_code	WINDIR	WINDIR
visit.wind_speed_ms	WINSP	WINSP
visit.air_temperature_degc	AIRTEMP	AIRTEMP
visit.air_pressure_hpa	AIRPRES	AIRPRES
visit.weather_observation_code	WEATH	WEATH
visit.cloud_observation_code	CLOUD	CLOUD
visit.wave_observation_code	WAVES	WAVES
visit.ice_observation_code	ICEOB	ICEOB
		
sample.sampler_type_code	SMTYP	SMTYP
sample.instrument_id	INSTRUMENT_ID	INSTRUMENT_ID
		
visit.visit_date	SDATE	SDATE
sample.sample_time	STIME	STIME
sample.sample_enddate	EDATE	EDATE
sample.sample_endtime	ETIME	ETIME
sample.sample_project_name	PROJ	PROJ
sample.sample_orderer_code	ORDERER	ORDERER
sample.sampling_laboratory_code	SLABO	SLABO
variable.revision_date	REV_DATE	REV_DATE
variable.profile_file_name	FILE_NAME	FILE_NAME
variable.profile_file_name_db	FILE_NAME_DATABASE	FILE_NAME_DATABASE
		
variable.analytical_laboratory_code	ALABO	ALABO
variable.analysis_method_reference_code	REFSK_ANA	REFSK_ANA
		
sample.monitoring_program_code	MPROG	MPROG
