cluster.table.column	Rseal	Ringed_seal
visit.visit_year	MYEAR	MYEAR
visit.visit_date	SDATE	SDATE
visit.sea_region	REGION<or>Area	REGION<or>Area
sample.sample_time		SMPTIME<or>STIME
sample.sample_project_code	PROJ	PROJ<or>PROJ_NAME
sample.sample_orderer_code	ORDERER	ORDERER
sample.sampling_laboratory_code	SLABO	SLABO
sample.sampling_laboratory_accreditated		ACKR_SMP
sample.method_documentation	METDC	METDC
visit.wind_direction_code	WINDIR	WINDIR
visit.wind_speed_ms	WINSP	WINSP
visit.air_temperature_degc	AIRTEMP	AIRTEMP
visit.air_pressure_hpa	AIRPRES	AIRPRES
visit.weather_observation_code	WEATH	WEATH
visit.cloud_observation_code	CLOUD	CLOUD
visit.wave_observation_code	WAVES	WAVES
visit.ice_observation_code	ICEOB	ICEOB
sample.transect_id	TRANS	TRANS_ID
visit.visit_transect_start_latitude	START_TRANS_LAT	START_TRANS_LAT<or>TRANS_LAT_START
visit.visit_transect_start_longitude	START_TRANS_LONG	START_TRANS_LONG<or>TRANS_LONG_START
visit.visit_transect_end_latitude	STOP_TRANS_LAT	STOP_TRANS_LAT<or>TRANS_LAT_STOP
visit.visit_transect_end_longitude	STOP_TRANS_LONG	STOP_TRANS_LONG<or>TRANS_LONG_STOP
sample.transect_length_m		TRANSL
sample.transect_width_m		TRANSW
sample.transect_comment	COMNT_TRANS	COMNT_TRANS<or> COMNT_SAMP
sample.image_id	PICT_NUMB<or>IMAGE_ID	PICT_NUMB<or>IMAGE_ID
sample.section_id	SECTION	
sample.section_start_latitude	START_SECTION_LAT	
sample.section_start_longitude	START_SECTION_LONG	
sample.section_end_latitude	STOP_SECTION_LAT	
sample.section_end_longitude	STOP_SECTION_LONG	
sample.section_comment	COMNT_SECTION	
sample.sampler_type_code	SMTYP	SMTYP
sample.section_area_km2	SECTIONA	
sample.fauna_flora_found	FNFLA	TRANS_FNFLA<or>FNFLA
sample.sample_reported_latitude		OBS_LAT<or>LATIT
sample.sample_reported_longitude		OBS_LONG<or>LONGI
variable.QFLAG.Abundance	QFLAG	QFLAG
variable.analytical_laboratory_code	ALABO	ALABO
variable.analytical_laboratory_accreditated	ACKR_ANA	ACKR_ANA
variable.variable_comment	COMNT_VAR	COMNT_VAR
variable.species_flag_code	SFLAG	SFLAG
variable.dev_stage_code	STAGE	
variable.coefficient		COEFF<or>ICE_OBS
variable.reported_scientific_name	LATNM	LATNM
variable.taxonomist	TAXNM	TAXNM
variable.COPY_VARIABLE.# counted.ind	COUNTNR<or>COUNT	COUNTNR<or>COUNT
variable.COPY_VARIABLE.Abundance.ind/km2	ABUNDKM2	
sample.monitoring_program_code		MPROG
visit.positioning_system_code		POSYS
