cluster.table.column	SED_SUSE	SED_UMSC
visit.visit_id	SERNO	SERNO
visit.visit_year	MYEAR	MYEAR
visit.visit_date	SDATE	SDATE
visit.reported_station_name	STATN	STATN
visit.visit_comment		COMNT_EXP
visit.expedition_id	EXPID	EXPID
visit.platform_code	SHIPC	SHIPC
visit.water_land_station_type_code	WLTYP	
visit.monitoring_station_type_code	MSTAT	
visit.water_depth_m	WADEP	WADEP
visit.wind_speed_ms	WINSP	
visit.wave_observation_code	SEAST	
visit.wind_direction_code	WINDR	
visit.cloud_observation_code	CLOUD	CLOUD
visit.ice_observation_code	ICEOB	
visit.weather_observation_code	WEATH	
visit.visit_reported_latitude	LATIT	LATIT
visit.visit_reported_longitude	LONGI	LONGI
visit.positioning_system_code	POSYS	
sample.sample_id	SMPNO	SMPNO
sample.sample_time	STIME	
sample.sample_enddate	EDATE	EDATE
sample.sample_depth_m	SMDEP	SMDEP<or>SMPDEP
sample.sample_depth_quality_flag	QDEP	QDEP
sample.factors_influencing_code	FINFL	
sample.sample_project_code	PROJ	PROJ
sample.sample_orderer_code	ORDERER	ORDERER
sample.monitoring_program_code	MPROG	MPROG
sample.sampling_laboratory_code	SLABO	SLABO
sample.sampling_laboratory_accreditated	ACKR_SMP	ACKR_SMP
sample.method_reference_code	REFSK	REFSK
sample.method_documentation	METDC	METDC
sample.sample_comment		COMNT_SAMP 
sample.sampler_type_code	SMTYP	
sample.aggregated_subsamples	NOAGG	
variable.analytical_laboratory_code	ALABO	ALABO
variable.analytical_laboratory_accreditated	ACKR_ANA	ACKR_ANA
variable.salinity_correction	S_COR_FAC	
variable.variable_comment	COMNT	COMNT
###variable.method_incubation	###METCO	###METCO
variable.incubation_start_time	ISTIM	ISTIM
variable.incubation_end_time	IETIM	IETIM
variable.incubation_time_h	INTIM	INTIM
variable.insolation_air	INAIR	INAIR
variable.preservation_method_code	METFP	METFP
variable.mesh_size_um	MESHS	
variable.COPY_VARIABLE.Sedimentation rate (dw).g dw/m2/day	SED_DW<or>DW_GM2D	SED_RATE_DW<or>DW_GM2D
variable.COPY_VARIABLE.Sedimentation C-fraction.% dw	SED_C<or>C_PROC<or>SED_C%	SED_C<or>C_PROC
variable.COPY_VARIABLE.Sedimentation N-fraction.% dw	SED_N<or>N_PROC<or>SED_N%	SED_N<or>N_PROC
variable.COPY_VARIABLE.Sedimentation P-fraction.% dw	SED_P<or>P_PROC<or>SED_P%	SED_P<or>P_PROC
variable.COPY_VARIABLE.Sedimentation Fe-fraction.% dw		SED_FE
variable.COPY_VARIABLE.Sedimentation Mn-fraction.ppm dw		SED_MN
variable.COPY_VARIABLE.Sedimentation Al-fraction.% dw		SED_AL
variable.COPY_VARIABLE.Sedimentation Mg-fraction.% dw		SED_MG
variable.COPY_VARIABLE.Sedimentation Si-fraction.% dw		SED_SI
variable.QFLAG.Sedimentation Al-fraction		Q_SED_AL
variable.QFLAG.Sedimentation C-fraction	QC	Q_SED_C
variable.QFLAG.Sedimentation Fe-fraction		Q_SED_FE
variable.QFLAG.Sedimentation Mg-fraction		Q_SED_MG
variable.QFLAG.Sedimentation Mn-fraction		Q_SED_MN
variable.QFLAG.Sedimentation N-fraction	QN	Q_SED_N
variable.QFLAG.Sedimentation P-fraction	QP	Q_SED_P
variable.QFLAG.Sedimentation rate (dw)	QDW	Q_SED_RATE_DW
variable.QFLAG.Sedimentation Si-fraction		Q_SED_SI
