cluster.table.column	ZB_BEDA	ZB
dataset.reporting_institute_code		RLABO
dataset.method_documentation	metodik	
visit.visit_id		BESID<or>SERNO
visit.visit_year		MYEAR
visit.visit_date	besok.datum<or>datum	SDATE
visit.reported_station_name	stnbet	STATN
visit.visit_comment	station.kommentar	COMNT_VISIT<or>COMNT_SITE
visit.TEMP.add_to_visit_comment	besok.labkommentar	
visit.TEMP.add_to_visit_comment_1	besok.faltkommentar	
visit.platform_code	shipc	SHIPC
visit.station_cluster	kluster	
visit.water_land_station_type_code		WLTYP
visit.monitoring_station_type_code		MSTAT
visit.monitoring_purpose_code		PURPM
visit.water_depth_m	station.djup	WADEP
sample.water_depth_m	besok.djup	
visit.NOT_USED.besok_h2s	besok.h2s	
sample.NOT_USED.taxon_datum	taxon.datum	
visit.wind_speed_ms	vindhastighet	WINSP
visit.wave_height_m	vaghojd	WAVHT
visit.wave_observation_code		WAVES<or>SEAST
visit.weather_observation_code		WEATH
visit.wind_direction_code	vindriktning	WINDR<or>WINDIR_CODE<or>WINDIR
visit.air_temperature_degc		AIRTEMP
visit.air_pressure_hpa		AIRPRES
visit.ice_observation_code		ICEOB
visit.cloud_observation_code		CLOUD
visit.secchi_depth_m		SECCHI
visit.secchi_depth_quality_flag		Q_SECCHI
sample.sediment_type	sedimentbeskrivning	SDTYP
sample.sample_reported_latitude	besok.latitud	SMPLAT
sample.sample_reported_longitude	besok.longitud	SMPLONG
visit.visit_reported_latitude	station.latitud	LATIT
visit.visit_reported_longitude	station.longitud	LONGI
visit.positioning_system_code	posys	POSYS
sample.sample_id	provNr<or>bottenvattenProv.provnr	SMPNO
sample.TEMP.sample_link		SMLNK
sample.sample_time		STIME<or>SMPSTIME
sample.sample_depth_m	provdjup	SMPDEP<or>DEPH
sample.factors_influencing_code		FINFL<or>FNFLA
sample.sample_project_code	Undersökning	PROJ
sample.sample_orderer_code	uppdragsgivare<or>ORDERER<or>beställare	ORDERER
sample.monitoring_program_code	Mprog	MPROG
sample.sampling_laboratory_code	slabo	SLABO
sample.sampling_laboratory_accreditated	ackrediterad	ACKR_SMP
sample.method_reference_code		REFSK
sample.method_documentation	METDC	METDC<or>METDOC
sample.sample_comment	kommentar<or>prov.faltkommentar	sample.COMNT<or>COMNT_SAMP
sample.sampler_type_code	SMTYP	SMTYP
sample.sampled_volume_l	provvolym	SMVOL
sample.sampler_area_cm2	huggyta_cm2	SAREA<or>SAREA_CM2
sample.sampler_area_cm2.MULTIPLY.10000	huggyta	SAREA_M2
sample.fauna_flora_found	noFauna	FNFLA<or>FAUNA
variable.quality_flag		QFLAG<or>VFLAG
variable.analytical_laboratory_code	alabo	ALABO
variable.analytical_laboratory_accreditated		ACKR_ANA
variable.analysis_date		ANADATE
variable.analysed_by		ANARESP
variable.variable_comment	provart.kommentar	COMNT_VAR<or>COMNT_AB<or>abundance.COMNT<or>COMNT_ABUB
AUTO.add_to_variable_comment	prov.labkommentar<or>kommentar	COMNT
variable.dyntaxa_id	taxonID	
variable.species_flag_code	sflag	SFLAG
